Hechos Intradía,,,,,,
,,,,,,
"Razón Social: TV AZTECA, S.A.B. DE C.V.",,,,,,
Ticker: AZTECA,,,,,,
Serie: CPO,,,,,,
Fecha Inicial: 6/30/2014,,,,,,
Fecha Final: 7/5/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
6/30/2014,2:38:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:38:00 PM,ACTINVER CASA DE BOLSA,GRUPO BURSATIL MEXICANO,332,7.34,2436.88
6/30/2014,2:38:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:39:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.34,2202
6/30/2014,2:39:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:39:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:39:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:39:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:39:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.34,2202
6/30/2014,2:39:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:39:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:40:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:40:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:40:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:40:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:40:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:40:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:40:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:40:00 PM,MORGAN STANLEY MEXICO CAS,MORGAN STANLEY MEXICO CAS,100,7.35,735
6/30/2014,2:40:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,1400,7.35,10290
6/30/2014,2:40:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:40:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:40:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:41:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:41:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:41:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.35,735
6/30/2014,2:41:00 PM,MORGAN STANLEY MEXICO CAS,MORGAN STANLEY MEXICO CAS,100,7.35,735
6/30/2014,2:41:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:41:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:41:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:41:00 PM,MERRILL LYNCH,CITIBANK,300,7.35,2205
6/30/2014,2:41:00 PM,MERRILL LYNCH,CITIBANK,400,7.35,2940
6/30/2014,2:41:00 PM,MERRILL LYNCH,CITIBANK,400,7.35,2940
6/30/2014,2:41:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:41:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:41:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.34,734
6/30/2014,2:41:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.34,734
